Date	open	high	low	close	volume	MarketCap
Dec 05, 2016	NT$236.41	NT$243.69	NT$212.32	NT$217.62	NT$553,306,895	NT$18,854,338,906
Dec 04, 2016	NT$251.82	NT$253.23	NT$237.17	NT$237.17	NT$269,259,071	NT$20,540,976,260
Dec 03, 2016	NT$247.45	NT$259.71	NT$244.33	NT$252.39	NT$385,915,730	NT$21,851,218,821
Dec 02, 2016	NT$269.49	NT$269.49	NT$236.41	NT$247.32	NT$592,156,806	NT$21,404,157,297
Dec 01, 2016	NT$273.87	NT$275.28	NT$266.14	NT$269.12	NT$187,287,823	NT$23,282,406,997
Nov 30, 2016	NT$259.44	NT$278.39	NT$259.44	NT$273.19	NT$338,053,399	NT$23,625,651,827
Nov 29, 2016	NT$277.40	NT$277.90	NT$250.29	NT$259.77	NT$540,272,712	NT$22,457,374,457
Nov 28, 2016	NT$286.44	NT$286.86	NT$277.69	NT$277.73	NT$192,484,602	NT$24,000,418,824
Nov 27, 2016	NT$296.54	NT$297.23	NT$279.46	NT$286.56	NT$277,295,433	NT$24,753,561,839
Nov 26, 2016	NT$299.87	NT$302.56	NT$296.50	NT$297.05	NT$111,648,252	NT$25,650,325,832
Nov 25, 2016	NT$294.57	NT$311.29	NT$294.01	NT$300.10	NT$244,809,793	NT$25,903,990,486
Nov 24, 2016	NT$314.08	NT$314.29	NT$284.81	NT$294.48	NT$509,994,832	NT$25,408,779,754
Nov 23, 2016	NT$315.74	NT$316.99	NT$310.77	NT$313.31	NT$153,171,015	NT$27,023,479,225
Nov 22, 2016	NT$306.76	NT$326.30	NT$305.66	NT$315.69	NT$359,622,544	NT$27,217,831,882
Nov 21, 2016	NT$306.84	NT$308.69	NT$305.61	NT$308.15	NT$117,328,953	NT$26,558,139,027
Nov 20, 2016	NT$309.38	NT$310.98	NT$304.86	NT$306.76	NT$165,668,429	NT$26,428,750,405
Nov 19, 2016	NT$303.67	NT$312.09	NT$303.64	NT$309.43	NT$166,088,570	NT$26,649,023,786
Nov 18, 2016	NT$317.97	NT$318.53	NT$301.66	NT$301.66	NT$344,319,727	NT$25,970,394,676
Nov 17, 2016	NT$320.39	NT$324.55	NT$315.95	NT$318.21	NT$222,455,710	NT$27,384,226,524
Nov 16, 2016	NT$325.09	NT$328.58	NT$316.01	NT$320.07	NT$303,348,027	NT$27,534,570,583
Nov 15, 2016	NT$318.65	NT$329.84	NT$314.80	NT$326.50	NT$209,546,510	NT$28,077,358,746
Nov 14, 2016	NT$321.44	NT$323.31	NT$316.91	NT$317.24	NT$113,740,121	NT$27,271,316,219
Nov 13, 2016	NT$315.62	NT$332.38	NT$314.16	NT$322.45	NT$262,638,646	NT$27,708,650,246
Nov 12, 2016	NT$328.54	NT$329.94	NT$309.55	NT$315.31	NT$320,885,853	NT$27,085,267,985
Nov 11, 2016	NT$333.15	NT$335.01	NT$325.00	NT$326.05	NT$191,899,922	NT$27,996,654,131
Nov 10, 2016	NT$335.62	NT$335.70	NT$330.55	NT$330.90	NT$133,749,385	NT$28,403,171,322
Nov 09, 2016	NT$340.60	NT$341.07	NT$321.81	NT$335.42	NT$459,801,161	NT$28,781,001,101
Nov 08, 2016	NT$341.35	NT$343.67	NT$337.86	NT$340.82	NT$196,875,141	NT$29,233,175,287
Nov 07, 2016	NT$342.69	NT$344.36	NT$338.94	NT$339.71	NT$188,337,654	NT$29,127,184,989
Nov 06, 2016	NT$345.83	NT$353.81	NT$341.44	NT$342.11	NT$178,983,883	NT$29,321,863,167
Nov 05, 2016	NT$349.08	NT$353.54	NT$342.42	NT$346.17	NT$173,130,506	NT$29,658,721,935
Nov 04, 2016	NT$340.85	NT$350.45	NT$340.85	NT$349.46	NT$313,767,882	NT$29,929,202,857
Nov 03, 2016	NT$340.22	NT$349.99	NT$339.11	NT$340.33	NT$479,837,957	NT$29,136,897,210
Nov 02, 2016	NT$339.97	NT$352.18	NT$337.41	NT$339.31	NT$368,943,285	NT$29,038,998,688
Nov 01, 2016	NT$345.87	NT$352.88	NT$325.24	NT$339.82	NT$722,856,633	NT$29,072,257,176
Oct 31, 2016	NT$355.29	NT$363.80	NT$345.98	NT$347.97	NT$423,769,602	NT$29,758,955,687
Oct 30, 2016	NT$329.78	NT$362.21	NT$325.57	NT$353.64	NT$527,959,518	NT$30,232,779,714
Oct 29, 2016	NT$351.04	NT$354.14	NT$302.43	NT$330.30	NT$856,074,330	NT$28,226,498,840
Oct 28, 2016	NT$364.14	NT$367.43	NT$347.61	NT$351.77	NT$443,371,581	NT$30,051,224,329
Oct 27, 2016	NT$364.43	NT$366.81	NT$355.97	NT$363.44	NT$418,923,662	NT$31,036,195,388
Oct 26, 2016	NT$358.47	NT$367.24	NT$358.47	NT$363.13	NT$321,874,260	NT$30,998,688,247
Oct 25, 2016	NT$378.52	NT$379.34	NT$352.58	NT$361.01	NT$610,945,764	NT$30,806,384,794
Oct 24, 2016	NT$381.81	NT$383.82	NT$377.74	NT$379.64	NT$182,057,227	NT$32,384,210,592
Oct 23, 2016	NT$385.19	NT$385.59	NT$379.12	NT$382.19	NT$183,368,554	NT$32,589,169,237
Oct 22, 2016	NT$386.78	NT$387.09	NT$379.59	NT$383.32	NT$240,816,620	NT$32,673,272,089
Oct 21, 2016	NT$382.33	NT$384.71	NT$378.98	NT$383.77	NT$178,936,518	NT$32,699,484,387
Oct 20, 2016	NT$379.23	NT$386.86	NT$377.68	NT$380.89	NT$257,223,696	NT$32,441,870,450
Oct 19, 2016	NT$396.86	NT$397.69	NT$375.30	NT$378.89	NT$333,308,943	NT$32,258,738,301
Oct 18, 2016	NT$381.03	NT$410.63	NT$381.03	NT$399.85	NT$599,183,585	NT$34,029,694,741
Oct 17, 2016	NT$378.50	NT$380.98	NT$375.52	NT$380.07	NT$181,230,046	NT$32,333,423,574
Oct 16, 2016	NT$379.74	NT$380.62	NT$378.20	NT$378.78	NT$114,642,455	NT$32,211,919,256
Oct 15, 2016	NT$378.29	NT$380.20	NT$373.24	NT$379.79	NT$158,206,385	NT$32,285,119,928
Oct 14, 2016	NT$381.00	NT$383.70	NT$378.04	NT$379.38	NT$137,714,614	NT$32,238,402,832
Oct 13, 2016	NT$376.10	NT$383.12	NT$372.14	NT$377.80	NT$273,655,365	NT$32,091,657,418
