Date,tic,open,high,low,close,volume,macd,rsi,cci,adx
20200605,Ethereum,7296.28,7385.26,7186.77,7202.89,277517771758,346.78010041430116,59.085642119576335,148.44285268338447,45.33125675427913
20200605,Monero,2036.95,2065.81,2007.87,2021.37,1909618750,43.067425476847575,54.757986810501066,116.9222145096963,14.328657788316344
20200606,Bitcoin,286941.36,290163.42,284747.93,286608.08,606796228292,6361.450584469945,55.126107410524156,44.813822818942704,31.048378636456864
20200606,Ethereum,7161.03,7302.93,7117.18,7182.7,240922489578,341.27748229957433,58.883448846749445,122.90048851679737,40.04462434371006
20200606,Monero,2009.89,2023.55,1997.74,2007.02,1714772772,41.599559529897306,54.26469051445373,85.7804792336391,12.009580437311989
20200607,Bitcoin,286969.31,290402.79,281176.63,290116.04,743665884765,6198.964318305487,55.846359817053376,48.287888541647725,24.688821430494002
20200607,Ethereum,7191.56,7296.42,7025.6,7288.45,283755058945,341.5130096193807,59.63194552208901,110.59918457161996,33.227048316732244
20200607,Monero,2010.29,2026.34,1924.49,1980.23,2067683728,37.83835903550698,53.33672718520703,46.78976402643671,3.17218088066631
20200608,Bitcoin,290147.16,290808.41,287644.74,290486.84,638746103160,6030.596282782906,55.92371764731521,66.71645832378523,25.12994483659145
20200608,Ethereum,7288.67,7332.24,7180.57,7322.3,240106613911,340.505938321573,59.87382693255339,109.51850340836239,34.55904100255208
20200608,Monero,1980.04,2029.23,1972.11,2028.38,1930722577,38.301368801605804,54.77467143768548,77.42354529137648,2.5857619428137713
20200609,Bitcoin,290060.96,291901.12,286807.33,290694.25,703843563357,5846.504787341692,55.96835679377247,65.30710121175919,26.371865091670248
20200609,Ethereum,7305.42,7369.74,7191.57,7267.92,250657150386,331.4985070959783,59.283486946997954,99.76732984583364,35.988039513186315
20200609,Monero,2025.63,2034.75,2008.24,2026.12,1662167440,38.04735800522644,54.69283763837017,88.06487702473342,1.4088976963346913
20200610,Bitcoin,291157.63,294569.7,289200.69,293416.19,764199700316,5852.78153835109,56.565553399977894,84.9584046810096,29.42789522755626
20200610,Ethereum,7278.02,7391.85,7218.5,7355.99,261396254233,327.6891691603005,59.94514319226126,97.51916191699027,36.85705620283347
20200610,Monero,2029.41,2074.0,2003.8,2070.5,2038514924,40.9550434723908,56.02739499547639,116.33971238605761,6.72448513780073
20200611,Bitcoin,291961.85,293979.8,274006.22,275742.94,894725596285,4381.168946824502,51.84273274488217,-21.93279742573158,3.32501957557269
20200611,Ethereum,7322.61,7391.82,6801.83,6853.88,365512289601,280.91593665616165,54.70235852205292,52.96027094444259,7.466527917555315
20200611,Monero,2060.26,2071.97,1881.76,1890.77,2135436367,28.428984582307294,49.87291118028556,-16.389351308865823,15.737809989638283
20200612,Bitcoin,276723.85,283248.79,275689.5,281478.67,671289572008,3635.8193785706535,53.155840599352025,-36.497734278591096,3.325019575572691
20200612,Ethereum,6876.77,7106.25,6817.98,7050.98,263312179057,256.79199738191073,56.25595410472395,45.65667790635558,7.4665279175553225
20200612,Monero,1897.96,1974.54,1878.31,1954.53,1891718598,23.377411553526144,51.815365281387734,-34.602541207600936,16.27034718065776
20200613,Bitcoin,281040.29,281410.12,278528.73,280878.49,520664475686,2962.544595710002,52.99940857530053,-32.77009427622071,3.3250195755726972
20200613,Ethereum,7041.61,7090.47,6992.55,7082.05,211701331762,237.4435891484436,56.49925124582867,50.416491201576484,7.46652791755533
20200613,Monero,1952.43,1976.57,1933.02,1974.7,1617048329,20.76222001754627,52.418750917881546,-0.31860615938811243,15.809980558859799
20200614,Bitcoin,280945.98,281085.8,277093.53,278255.37,562977631295,2192.037177848106,52.303479230193034,-45.49248307674355,0.9754187494865575
20200614,Ethereum,7083.81,7087.76,6905.65,6939.93,220527926593,208.241462023665,55.05042619942199,36.162434732654056,1.8921116934490203
20200614,Monero,1974.43,1974.66,1925.89,1948.56,1622009936,16.39143211878627,51.55325420452409,-19.15333515746474,17.043210283722928
20200615,Bitcoin,278239.62,281762.06,266504.77,280156.6,791486021456,1715.0478655306506,52.76849286474862,-68.21877818455972,14.379955756452233
20200615,Ethereum,6938.42,6943.75,6558.49,6816.01,312332134429,173.10382439572095,53.80587599089656,2.807327128420783,16.585342886066982
20200615,Monero,1948.73,1954.82,1842.84,1917.84,2248792377,10.329630407577952,50.538776827570835,-80.9266872257245,29.839644242708722
20200616,Bitcoin,280342.64,284054.06,278746.7,282826.27,639472092086,1534.7587135380018,53.42804575530082,-10.671793315296219,10.492108314833805
20200616,Ethereum,6813.03,7009.68,6773.41,6951.03,236201377807,154.3724692809974,54.953739980048596,21.20091480229484,12.445712436639422
20200616,Monero,1917.14,1958.12,1910.87,1955.43,1960422147,8.461271455405495,51.740875431328035,-27.55093524231745,28.99447026921554
20200617,Bitcoin,282790.14,282987.08,276666.61,281202.39,598509212664,1246.4761162385112,52.962666229450434,-23.27823506236024,13.349447746079491
20200617,Ethereum,6955.49,6998.85,6802.71,6912.06,228437907259,134.82895778905186,54.54902780526342,17.79069996280998,12.445712436639424
20200617,Monero,1956.23,1977.58,1929.86,1934.09,2152218368,5.198696533271232,51.012761367669526,-17.440348378793523,23.910089576534876
20200618,Bitcoin,280777.64,280813.61,276241.77,278712.82,526225450189,807.8106497932458,52.240988939329974,-37.2264275825758,13.94918697201467
20200618,Ethereum,6896.83,6946.34,6779.94,6873.21,198815778497,114.8814321724094,54.13784602595509,9.089300216560577,13.655638817122407
20200618,Monero,1930.8,1949.05,1908.72,1927.15,2033713558,2.0296854514476763,50.772390643345084,-41.457991478062034,27.240388243104753
20200619,Bitcoin,278412.96,279317.75,274389.32,274795.31,580838933223,142.41314018744742,51.1073734036731,-58.41677877678062,16.638500450982843
20200619,Ethereum,6862.62,6868.51,6709.96,6720.11,205515372487,85.7307333881763,52.52381984843883,-11.46709254662371,17.40543449183604
20200619,Monero,1925.59,1929.54,1884.17,1891.57,2126435595,-3.3145789055527075,49.53450563783306,-73.99366657436238,30.989934860093964
20200620,Bitcoin,275004.99,278083.64,273715.04,276229.82,507050325663,-266.09879058849765,51.505993499201146,-61.267517694147294,17.64002166693012
20200620,Ethereum,6718.32,6850.71,6708.38,6786.33,185078782481,67.19738552715899,53.14880190022722,-14.452589996562295,17.491914749805606
