,0
193,1786304.7951599997
194,1814419.0551599998
195,1808147.07516
196,1874843.9451599997
197,1881844.7751599997
198,1879887.8451599998
199,1801315.2351599997
200,1825333.74516
201,1823845.0851599998
202,1853037.78516
203,1859463.2751599997
204,1863694.4751599997
205,1883846.8551599998
206,1869411.75516
207,1810578.7251599997
208,1799354.4351599996
209,1745473.71516
210,1681069.1751599999
211,1710986.8551599998
212,1739888.0151599997
213,1743069.1551599996
214,1758898.74516
215,1770132.0651599998
216,1790545.0251599997
217,1735901.9151599999
218,1746184.50516
219,1755912.3951599998
220,1758907.7751599997
221,1769730.8751599998
222,1764849.5151599997
223,1710514.71516
224,1712982.4851599997
225,1726785.4851599997
226,1723584.99516
227,1744529.4351599996
228,1746486.3651599996
229,1746487.6551599996
230,1750414.4151599999
231,1754604.3351599998
232,1791591.21516
233,1779322.0251599997
234,1748181.4251599999
235,1733187.75516
236,1730796.0951599998
237,1737790.4751599997
238,1754286.99516
239,1754415.99516
240,1756772.82516
241,1773010.0551599998
242,1772345.70516
243,1769443.20516
244,1758285.99516
245,1755720.1851599996
246,1764723.0951599998
247,1769438.0451599997
248,1778020.4151599999
249,1768876.8951599998
250,1774172.3451599998
251,1797467.1651599999
252,1795724.3751599998
253,1782505.74516
254,1787085.24516
255,1818371.6151599996
256,1833785.82516
257,1870962.3351599998
258,1861203.4851599997
259,1883065.1151599996
260,1917626.7951599997
261,1930811.8851599998
262,1945795.2351599997
263,1855962.21516
264,1876597.0551599998
265,1893964.32516
266,1868498.4351599996
267,1883308.9251599999
268,1855314.6351599998
269,1874618.1951599997
270,1863294.57516
271,1871408.6751599999
272,1921056.9051599996
273,1917548.1051599998
274,1917598.4151599999
275,1927047.6651599999
276,1898714.1051599998
277,1901460.5151599997
278,1909424.9751599997
279,1916625.75516
280,1922214.03516
281,1930208.1651599999
282,1917441.03516
283,1912033.3551599998
284,1914437.9151599999
285,1855172.7351599997
286,1872418.74516
287,1871037.1551599996
288,1854738.00516
289,1875803.70516
290,1882069.2351599997
291,1896741.6951599997
292,1909476.57516
293,1984981.5651599998
294,2227891.14516
295,2211902.885159999
296,2243950.3551599993
297,2238205.9851599997
298,2259970.8651599996
299,2265088.2951599993
300,2394452.0751599995
301,2383960.5051599997
302,2407336.5951599996
303,2454913.08516
304,2405188.7451599995
305,2415124.3251599995
306,2387428.0251599993
307,2401750.89516
308,2527404.635159999
309,2802362.97516
310,2937316.3251599995
311,2864293.2951599993
312,2907228.3651599996
313,3204996.4851599997
314,3130145.5251599993
315,3155932.6251599994
316,3187438.2951599993
317,3080395.385159999
318,2774087.465159999
319,2480238.3651599996
320,2593813.83516
321,2742285.0951599996
322,2786176.05516
323,2636499.9351599994
324,2738189.3451599996
325,2716743.0951599996
326,2674606.5351599995
327,2804056.7451599995
328,2813405.3751599994
329,2926700.91516
330,2739511.5951599996
331,2843938.385159999
332,2786723.0151599995
333,2830288.89516
334,2678818.385159999
335,2780429.1051599993
336,2710262.135159999
337,2703605.7351599997
338,2690011.715159999
339,2764922.0151599995
340,2717090.1051599993
341,2728247.3151599998
342,2738999.465159999
343,2721060.72516
344,2797979.55516
345,2769925.9251599996
346,2775614.8251599995
347,2748511.9251599996
348,2749167.2451599995
349,2686350.6951599997
350,2706550.80516
351,2730187.47516
352,2706184.4451599997
353,2705029.89516
354,2709350.1051599993
355,2705753.58516
356,2708407.1151599996
357,2690593.5051599997
358,2565954.9951599995
359,2489768.885159999
360,2228609.6751599996
361,2313842.55516
362,2367033.1251599994
363,2351087.4351599994
364,2394392.7351599997
365,2414386.4451599997
366,2404067.7351599997
367,2386828.1751599996
368,2392061.7051599994
369,2362389.1251599994
370,2373490.8651599996
371,2372863.9251599996
372,2311666.3251599995
373,2300258.8551599993
374,2339125.2651599995
375,2317077.8751599994
376,2331382.6851599994
377,2334624.4551599994
378,2373168.3651599996
379,2371581.66516
380,2393929.6251599994
381,2395524.0651599998
382,2379640.2951599993
383,2368452.1251599994
384,2369239.0251599993
385,2336740.05516
386,2352982.4451599997
387,2349189.8451599996
388,2367171.1551599996
389,2356551.8751599994
390,2344028.55516
391,2357560.6551599996
392,2442032.4351599994
393,2484544.385159999
394,2479962.30516
395,2481499.9851599997
396,2471391.5451599993
397,2527905.1551599996
398,2514373.05516
399,2545540.7451599995
400,2465774.885159999
