,0
167,1194517.1570896017
168,1124303.9570896018
169,1125228.6370896017
170,1288679.6036296017
171,1362165.1477658206
172,1399680.4105527005
173,1361319.3841827007
174,1380751.0677027006
175,1348921.2277027008
176,1346051.3385027007
177,1358373.3785027007
178,1356963.9813296911
179,1348494.5831999271
180,1369683.9767344235
181,1362545.2467622655
182,1361468.343960444
183,1348291.8518404441
184,1286368.542940444
185,1292322.1029404441
186,1321738.5829404441
187,1280636.467640444
188,1288686.711240444
189,1286658.471240444
190,1275032.0429004442
191,1247389.469950444
192,1256632.469950444
193,1259953.269950444
194,1226804.189950444
195,1209504.861950444
196,1186758.5064504442
197,1123367.4097104443
198,1080964.582750444
199,1097664.954685549
200,1054830.4825967741
201,1066813.8425967742
202,1074170.99755276
203,1116446.10878647
204,1106332.3529816272
205,1146040.8564816273
206,1122550.0932916272
207,1103064.5732916272
208,1086982.1332916273
209,1084962.8662716271
210,1075651.8907311629
211,1104036.4783834608
212,1114151.0746455342
213,1114848.8528586037
214,1115642.0829091829
215,1091661.1532291828
216,1075316.8401537943
217,1067578.605331136
218,1067643.288629357
219,1067058.4086293569
220,1049637.168629357
221,1053030.0212843737
222,1025283.144942983
223,984763.4115075454
224,1062606.7054976027
225,1048861.8755376027
226,1050234.5550376028
227,1044295.6660176027
228,1088786.1060176028
229,1069809.0676776029
230,1067283.4133576027
231,1059964.7308154309
232,1053194.0226178784
233,1060299.3984496165
234,1065267.020420831
235,1077686.1476279723
236,1060328.335900945
237,1047963.0123624564
238,1044095.8188024565
239,1018157.9940502248
240,1063805.7350993382
241,1074167.3668979877
242,1083853.230841816
243,1123158.5935280947
244,1169784.711769119
245,1157636.3728398536
246,1134320.5158717646
247,1171838.2056359283
248,1156135.9410558636
249,1178402.917357216
250,1171599.191113031
251,1253503.0531921461
252,1250726.9936033704
253,1240588.2364887162
254,1270673.203353012
255,1272897.2315229452
256,1243621.374158475
257,1237537.290235425
258,1246533.550512158
259,1243308.423671706
260,1204686.5441328743
261,1212485.0148329095
262,1201872.2004792767
263,1236184.9418088216
264,1279824.0511556976
265,1346213.7031884545
266,1341126.0016955636
267,1382122.3677663298
268,1363460.271803013
269,1378668.2461434044
270,1372393.335131004
271,1366677.3171374926
272,1347052.9446229802
273,1395599.9870027178
274,1403797.0172443788
275,1424780.8844228233
276,1440501.1745293583
277,1483434.8158497494
278,1445813.7000176585
279,1485346.8991096898
280,1496587.3078611805
281,1481186.6355896904
282,1509795.4209475336
283,1458512.5110941022
284,1464086.7770508188
285,1433807.6345893855
286,1489834.9854350942
287,1409984.184452735
288,1407447.5436001434
289,1423873.7896481548
290,1419993.0043110999
291,1468215.6065965865
292,1433509.0467509944
293,1393993.872544156
294,1328115.9477624614
295,1318079.2040858304
296,1303640.8075160426
297,1294409.28717956
298,1289515.7331210081
299,1333865.8821852189
300,1302274.4633757067
301,1299708.6879975176
302,1348314.165833134
303,1355821.8982253233
304,1328309.8407427946
305,1228714.4872724512
306,1205937.5974490277
307,1206475.64738246
308,1201014.2411437642
309,750480.9212856286
310,837281.083346193
311,789988.3057199806
312,813983.1536707088
313,751617.7920872933
314,782885.3045638107
315,782851.7879188876
316,907546.8806635134
317,903082.0279253939
318,900145.7738429446
319,846832.5209759127
320,845988.1956430048
321,885213.5159630049
322,876951.1559630049
323,885927.3640130049
324,849697.1740130049
325,821527.9640130049
326,781602.0540529282
327,843044.4345929734
328,845935.7945929734
329,866070.2745929735
330,888865.4345929734
331,876952.0006316032
332,898973.7910290401
333,888621.2214521177
334,952918.7488885025
335,937043.5745987562
336,936107.7460185745
337,934769.6789285745
338,881470.3427785747
339,879808.8090085746
