,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
4498,20190914,Ethereum,5818.1,5608.28,5828.66,5578.91,2.01E+11,-126.9385059,45.69778024,11.50200718,3.373475769,0
4499,20190914,Monero,2351.85,2376.37,2380.99,2287.1,2376746888,-51.94033713,46.4028997,-34.88586648,13.49569394,0
4500,20190915,Bitcoin,320054.76,320325.49,321270.99,318983.95,3.73E+11,-1347.240322,49.669073,-1.435486017,8.586468144,0
4501,20190915,Ethereum,5870.18,5816.96,5889.05,5766.82,1.92E+11,-97.94191325,46.27940064,40.43534833,0.649606641,0
4502,20190915,Monero,2341.12,2352.82,2360.01,2296.03,1772125737,-48.59401782,46.17971415,-35.89953152,13.49569394,0
4503,20190916,Bitcoin,317861.22,320039.58,321265.79,315168.8,4.69E+11,-1488.135459,49.17180004,-19.87417271,2.685719664,0
4504,20190916,Ethereum,6096.71,5867.09,6130.48,5867.09,2.55E+11,-56.03686872,48.74941177,90.63660499,14.81707522,0
4505,20190916,Monero,2330.42,2341.37,2364.79,2228.32,3094974507,-46.27204096,45.9517167,-44.75931699,20.57475902,0
4506,20190917,Bitcoin,316475.17,317718.7,318190.21,315191.74,4.73E+11,-1692.13267,48.85209567,-31.92736476,2.685719664,0
4507,20190917,Ethereum,6446.41,6091.23,6604.73,6078.89,3.16E+11,5.329611973,52.25513701,175.2207087,34.44617928,0
4508,20190917,Monero,2295.5,2328.2,2332.04,2281.95,2829884921,-46.71115263,45.19833526,-43.69078337,20.57475902,0
4509,20190918,Bitcoin,314779.7,316309.04,317177.39,314570.46,4.99E+11,-1967.92715,48.45344581,-37.99274605,1.657762332,0
4510,20190918,Ethereum,6524.87,6421.7,6689.03,6421.7,2.84E+11,59.60694457,53.00131199,208.9696469,37.1960897,0
4511,20190918,Monero,2523.77,2290.28,2531.34,2284.13,4120019058,-28.31329252,50.6677625,42.8317926,5.449759023,0
4512,20190919,Bitcoin,317899.71,315858.53,318805.57,305057.82,6.17E+11,-1912.689239,49.24194727,-48.62158634,12.65378276,0
4513,20190919,Ethereum,6851.97,6541.27,6901.23,6338.1,3.29E+11,127.5460861,55.96906297,227.5125843,43.56612592,0
4514,20190919,Monero,2354.15,2531.8,2531.8,2259.99,3171983050,-27.10729622,47.05757994,13.01853412,2.582973265,0
4515,20190920,Bitcoin,315608.82,318233.63,318839.75,314075.81,4.57E+11,-2030.363705,48.67636922,-22.39671002,12.59290037,0
4516,20190920,Ethereum,6759.08,6852.68,6869.07,6669.48,2.49E+11,171.9112131,54.94972334,211.3440687,43.56612592,0
4517,20190920,Monero,2294.04,2358.59,2409.2,2260.29,2984333733,-30.64861198,45.85967775,-24.35613338,2.582973265,0
4518,20190921,Bitcoin,310621.39,315703.43,315841.38,310032.1,4.16E+11,-2497.278415,47.44898623,-63.39050322,18.18470559,0
