Date	open	high	low	close	volume	MarketCap
Jul 17, 2019	NT$2,289.71	NT$2,484.17	NT$2,215.25	NT$2,371.59	NT$3,902,920,852	NT$40,563,985,157
Jul 16, 2019	NT$2,775.49	NT$2,775.49	NT$2,278.06	NT$2,298.20	NT$3,551,536,512	NT$39,304,614,245
Jul 15, 2019	NT$2,676.22	NT$2,807.11	NT$2,366.83	NT$2,781.52	NT$4,936,756,078	NT$47,565,246,699
Jul 14, 2019	NT$2,900.92	NT$2,931.86	NT$2,659.74	NT$2,667.94	NT$3,748,095,292	NT$45,618,047,420
Jul 13, 2019	NT$3,050.44	NT$3,051.72	NT$2,771.59	NT$2,899.19	NT$3,707,211,347	NT$49,566,612,335
Jul 12, 2019	NT$2,764.66	NT$3,048.74	NT$2,667.37	NT$3,043.41	NT$3,536,062,166	NT$52,026,705,678
Jul 11, 2019	NT$2,949.10	NT$2,949.10	NT$2,707.80	NT$2,768.70	NT$3,843,418,172	NT$47,325,404,928
Jul 10, 2019	NT$3,097.30	NT$3,164.27	NT$2,882.29	NT$2,956.74	NT$4,426,604,548	NT$50,520,551,008
Jul 09, 2019	NT$3,169.62	NT$3,261.57	NT$3,057.83	NT$3,101.64	NT$3,888,144,051	NT$52,996,387,413
Jul 08, 2019	NT$3,339.67	NT$3,346.61	NT$3,143.62	NT$3,167.87	NT$4,859,367,411	NT$54,128,123,042
Jul 07, 2019	NT$2,930.90	NT$3,342.40	NT$2,905.47	NT$3,342.40	NT$5,697,937,166	NT$57,107,242,928
Jul 06, 2019	NT$2,779.69	NT$3,086.28	NT$2,779.46	NT$2,929.32	NT$5,947,997,385	NT$50,043,670,008
Jul 05, 2019	NT$2,724.42	NT$2,855.55	NT$2,679.00	NT$2,766.65	NT$3,737,505,096	NT$47,259,656,122
Jul 04, 2019	NT$2,795.54	NT$2,891.06	NT$2,721.31	NT$2,727.80	NT$4,176,105,518	NT$46,565,512,484
Jul 03, 2019	NT$2,671.08	NT$2,851.43	NT$2,664.99	NT$2,787.63	NT$3,954,904,108	NT$47,586,751,364
Jul 02, 2019	NT$2,738.84	NT$2,751.01	NT$2,539.74	NT$2,671.45	NT$4,114,451,822	NT$45,603,512,375
Jul 01, 2019	NT$2,711.40	NT$2,891.34	NT$2,591.42	NT$2,731.92	NT$4,101,700,942	NT$46,635,884,020
Jun 30, 2019	NT$3,097.58	NT$3,112.43	NT$2,711.22	NT$2,717.72	NT$3,942,482,652	NT$46,393,481,324
Jun 29, 2019	NT$3,149.17	NT$3,152.28	NT$2,904.74	NT$3,096.13	NT$4,341,698,433	NT$52,852,871,993
Jun 28, 2019	NT$2,920.65	NT$3,160.99	NT$2,860.80	NT$3,141.77	NT$4,844,731,953	NT$53,625,871,342
Jun 27, 2019	NT$3,214.93	NT$3,250.34	NT$2,693.38	NT$2,920.25	NT$5,226,927,926	NT$49,839,155,474
Jun 26, 2019	NT$3,479.76	NT$3,483.18	NT$3,146.91	NT$3,219.91	NT$8,924,131,427	NT$54,947,575,595
Jun 25, 2019	NT$3,620.64	NT$3,635.29	NT$3,435.35	NT$3,465.55	NT$5,254,313,805	NT$59,132,778,050
Jun 24, 2019	NT$3,566.89	NT$3,697.54	NT$3,477.13	NT$3,635.09	NT$4,079,928,965	NT$62,018,678,880
Jun 23, 2019	NT$3,549.12	NT$3,717.29	NT$3,524.29	NT$3,564.32	NT$4,196,532,266	NT$60,804,693,265
Jun 22, 2019	NT$3,389.97	NT$3,675.03	NT$3,379.58	NT$3,551.11	NT$4,483,759,551	NT$60,572,461,136
Jun 21, 2019	NT$3,243.45	NT$3,397.19	NT$3,241.71	NT$3,373.71	NT$4,291,289,522	NT$57,540,092,090
Jun 20, 2019	NT$3,125.60	NT$3,379.51	NT$3,118.12	NT$3,266.57	NT$5,453,795,727	NT$55,706,543,195
Jun 19, 2019	NT$3,010.06	NT$3,195.60	NT$3,007.39	NT$3,139.74	NT$4,521,252,237	NT$53,537,577,339
Jun 18, 2019	NT$3,096.04	NT$3,120.89	NT$3,013.50	NT$3,031.10	NT$6,793,944,147	NT$51,679,255,712
Jun 17, 2019	NT$3,019.42	NT$3,141.12	NT$3,019.12	NT$3,098.78	NT$6,984,722,040	NT$52,827,404,326
Jun 16, 2019	NT$2,983.90	NT$3,076.49	NT$2,972.98	NT$3,020.46	NT$6,868,485,452	NT$51,486,218,277
Jun 15, 2019	NT$2,852.31	NT$2,994.21	NT$2,834.67	NT$2,983.58	NT$7,238,512,388	NT$50,851,842,340
Jun 14, 2019	NT$2,810.50	NT$2,856.59	NT$2,748.66	NT$2,848.52	NT$7,253,366,519	NT$48,544,331,552
Jun 13, 2019	NT$2,834.10	NT$2,880.33	NT$2,801.18	NT$2,804.39	NT$6,528,479,158	NT$47,787,005,251
Jun 12, 2019	NT$2,719.12	NT$2,836.65	NT$2,696.97	NT$2,828.06	NT$5,394,595,835	NT$48,184,782,559
Jun 11, 2019	NT$2,732.10	NT$2,759.46	NT$2,685.62	NT$2,723.98	NT$4,500,943,039	NT$46,406,294,674
Jun 10, 2019	NT$2,624.96	NT$2,741.30	NT$2,593.79	NT$2,726.56	NT$4,346,338,795	NT$46,444,838,857
Jun 09, 2019	NT$2,746.66	NT$2,759.60	NT$2,586.45	NT$2,628.18	NT$4,261,356,496	NT$44,763,705,191
Jun 08, 2019	NT$2,770.01	NT$2,783.37	NT$2,707.87	NT$2,746.12	NT$4,000,243,054	NT$46,767,497,121
Jun 07, 2019	NT$2,717.57	NT$2,805.66	NT$2,674.03	NT$2,760.99	NT$4,137,483,692	NT$47,015,533,938
Jun 06, 2019	NT$2,662.95	NT$2,728.87	NT$2,616.83	NT$2,722.23	NT$4,607,297,714	NT$46,350,240,576
Jun 05, 2019	NT$2,614.47	NT$2,714.54	NT$2,613.81	NT$2,663.79	NT$3,879,983,137	NT$45,349,717,211
Jun 04, 2019	NT$2,818.22	NT$2,818.34	NT$2,556.24	NT$2,619.56	NT$2,590,281,178	NT$44,591,763,541
Jun 03, 2019	NT$2,994.89	NT$3,021.10	NT$2,821.28	NT$2,829.17	NT$3,568,051,654	NT$48,154,512,075
Jun 02, 2019	NT$2,934.34	NT$3,035.20	NT$2,926.86	NT$2,994.28	NT$3,290,422,322	NT$50,958,831,284
Jun 01, 2019	NT$2,941.97	NT$2,955.71	NT$2,887.10	NT$2,931.97	NT$3,203,542,295	NT$49,892,607,989
May 31, 2019	NT$2,904.49	NT$2,953.54	NT$2,825.36	NT$2,943.95	NT$3,111,525,293	NT$50,090,599,541
May 30, 2019	NT$2,973.37	NT$3,112.16	NT$2,841.92	NT$2,908.82	NT$3,646,774,481	NT$49,487,057,320
May 29, 2019	NT$3,030.60	NT$3,031.14	NT$2,857.82	NT$2,965.44	NT$3,469,278,896	NT$50,444,709,637
May 28, 2019	NT$3,080.97	NT$3,100.69	NT$3,010.40	NT$3,023.05	NT$4,937,904,733	NT$51,418,617,947
May 27, 2019	NT$2,897.91	NT$3,113.17	NT$2,895.69	NT$3,085.05	NT$7,370,591,072	NT$52,467,050,975
